listing_id,listed_date,country,brand,model,fuel,transmission,seller_type,age_years,mileage_km,power_kw,previous_owners,accident_free,days_on_market,asking_price_eur,model_price_eur,price_p10_eur,price_p90_eur,price_gap_pct,recommended_action
CAR-03944,2026-01-07,DE,BMW,X3,Petrol,Automatic,Independent dealer,12,179111,70,5,True,50,5630,5981,5138,6909,-5.9,Hold
CAR-01683,2026-01-08,DE,Audi,A4,Petrol,Automatic,Franchise dealer,2,48860,167,2,True,88,30590,30797,26453,35573,-0.7,Hold
CAR-01556,2026-01-08,AT,Skoda,Superb,Petrol,Automatic,Independent dealer,3,58392,128,2,True,50,24280,21261,18262,24558,14.2,Review markdown
CAR-00536,2026-01-08,DE,Mercedes-Benz,A-Class,Petrol,Automatic,Franchise dealer,6,130225,161,2,True,40,9300,9799,8417,11319,-5.1,Hold
CAR-02507,2026-01-08,DE,Skoda,Superb,Diesel,Manual,Independent dealer,6,92004,114,2,True,55,10330,9707,8338,11213,6.4,Review markdown
CAR-01243,2026-01-08,DE,BMW,5 Series,Diesel,Automatic,Franchise dealer,4,68319,110,3,True,27,26390,20438,17555,23607,29.1,Hold
CAR-04517,2026-01-09,NL,Audi,Q5,Diesel,Automatic,Franchise dealer,4,67460,145,1,True,34,26040,23661,20324,27331,10.1,Hold
CAR-02051,2026-01-09,DE,BMW,i4,Diesel,Automatic,Private,4,78505,209,2,True,30,23590,22225,19091,25672,6.1,Hold
CAR-03908,2026-01-09,DE,Mercedes-Benz,E-Class,Petrol,Automatic,Independent dealer,2,46712,187,1,True,51,44370,42523,36526,49118,4.3,Hold
CAR-02458,2026-01-09,DE,Audi,Q3,Diesel,Manual,Franchise dealer,2,38055,139,2,True,68,29080,26859,23070,31024,8.3,Review markdown
CAR-02727,2026-01-09,DE,BMW,3 Series,Electric,Manual,Independent dealer,10,144079,186,4,True,35,5650,6577,5649,7596,-14.1,Check underpricing
CAR-03899,2026-01-09,DE,BMW,i4,Hybrid,Automatic,Private,11,164044,144,5,True,3,5920,7361,6323,8503,-19.6,Check underpricing
CAR-02231,2026-01-09,DE,Volkswagen,ID.3,Petrol,Manual,Franchise dealer,3,59202,107,3,True,104,21700,18012,15471,20805,20.5,Review markdown
CAR-00728,2026-01-10,AT,Mercedes-Benz,E-Class,Diesel,Manual,Independent dealer,5,120390,121,2,True,47,16840,15520,13331,17927,8.5,Review markdown
CAR-00673,2026-01-10,DE,Volkswagen,ID.3,Diesel,Manual,Independent dealer,4,66637,120,3,True,12,13870,13477,11576,15567,2.9,Hold
CAR-01839,2026-01-10,DE,Volkswagen,Passat,Petrol,Automatic,Independent dealer,4,80067,127,2,True,58,15540,15557,13363,17970,-0.1,Hold
CAR-03342,2026-01-10,DE,BMW,5 Series,Hybrid,Automatic,Franchise dealer,6,93265,202,3,True,114,19240,17409,14953,20108,10.5,Review markdown
CAR-01140,2026-01-10,AT,Audi,A3,Petrol,Automatic,Private,5,67481,183,2,True,55,13650,13072,11228,15099,4.4,Hold
CAR-00380,2026-01-10,DE,Mercedes-Benz,GLA,Diesel,Automatic,Franchise dealer,6,53721,146,2,True,21,14090,12982,11151,14995,8.5,Hold
CAR-04551,2026-01-10,DE,Volkswagen,ID.3,Diesel,Manual,Franchise dealer,4,88206,200,1,True,56,16830,15577,13380,17992,8.0,Review markdown
CAR-03647,2026-01-11,DE,Audi,A3,Hybrid,Automatic,Independent dealer,6,92740,164,3,True,120,11810,10874,9340,12560,8.6,Review markdown
CAR-03090,2026-01-11,DE,Skoda,Octavia,Petrol,Automatic,Private,6,134798,179,2,True,133,7860,7943,6822,9174,-1.0,Hold
CAR-00301,2026-01-11,DE,BMW,X3,Diesel,Manual,Franchise dealer,12,160386,116,4,True,34,5190,6502,5585,7510,-20.2,Check underpricing
CAR-01681,2026-01-11,DE,Volkswagen,Passat,Petrol,Automatic,Franchise dealer,7,151544,97,3,True,10,6840,7594,6523,8772,-9.9,Check underpricing
CAR-03272,2026-01-12,DE,Volkswagen,Tiguan,Hybrid,Automatic,Independent dealer,3,47231,152,1,True,48,21940,24007,20621,27730,-8.6,Check underpricing
CAR-00272,2026-01-12,DE,BMW,X1,Diesel,Automatic,Independent dealer,4,75629,70,2,True,58,16130,14270,12257,16483,13.0,Review markdown
CAR-00282,2026-01-12,DE,Audi,A3,Electric,Manual,Independent dealer,6,112417,124,3,True,68,8650,8914,7657,10297,-3.0,Hold
CAR-01030,2026-01-12,DE,Mercedes-Benz,C-Class,Electric,Automatic,Franchise dealer,5,96135,166,2,True,47,19240,16557,14221,19124,16.2,Review markdown
CAR-04729,2026-01-13,NL,Audi,A3,Petrol,Manual,Independent dealer,3,46952,70,1,True,64,16770,17183,14759,19848,-2.4,Hold
CAR-00429,2026-01-13,DE,Volkswagen,Tiguan,Hybrid,Automatic,Independent dealer,4,60333,158,3,True,47,19880,18145,15586,20959,9.6,Review markdown
CAR-03287,2026-01-13,DE,Mercedes-Benz,C-Class,Electric,Automatic,Independent dealer,4,71249,265,2,True,35,26620,23349,20056,26970,14.0,Hold
CAR-04674,2026-01-13,DE,Volkswagen,ID.4,Electric,Automatic,Franchise dealer,4,74376,162,1,True,14,25500,20536,17640,23721,24.2,Hold
CAR-00361,2026-01-14,DE,BMW,X3,Electric,Automatic,Private,2,65652,212,2,True,92,41550,37591,32288,43420,10.5,Review markdown
CAR-04990,2026-01-14,DE,BMW,X3,Electric,Automatic,Independent dealer,3,39316,108,2,True,12,35830,29375,25232,33930,22.0,Hold
CAR-03233,2026-01-14,NL,BMW,X1,Petrol,Manual,Franchise dealer,7,133173,89,2,True,8,7450,7980,6855,9218,-6.6,Hold
CAR-01106,2026-01-15,DE,BMW,X3,Petrol,Manual,Independent dealer,3,69399,140,1,True,20,28500,26043,22370,30082,9.4,Hold
CAR-01646,2026-01-15,DE,Audi,A3,Hybrid,Manual,Private,6,117151,134,2,True,13,8640,8662,7441,10006,-0.3,Hold
CAR-01305,2026-01-15,DE,Skoda,Karoq,Petrol,Automatic,Franchise dealer,4,61683,137,2,True,25,15900,14918,12814,17231,6.6,Hold
CAR-01068,2026-01-15,DE,BMW,X1,Diesel,Manual,Private,1,28410,134,1,True,43,27910,32232,27686,37230,-13.4,Check underpricing
CAR-01267,2026-01-15,DE,Skoda,Octavia,Petrol,Manual,Independent dealer,1,14491,132,1,True,19,27600,29103,24998,33616,-5.2,Hold
CAR-04888,2026-01-15,DE,Audi,Q5,Diesel,Manual,Franchise dealer,4,72821,131,2,True,13,21890,20559,17659,23747,6.5,Hold
CAR-03479,2026-01-15,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,13,232007,134,5,True,20,5440,4676,4017,5402,16.3,Hold
CAR-00065,2026-01-16,DE,Mercedes-Benz,A-Class,Diesel,Automatic,Independent dealer,9,182788,130,3,True,58,5510,5232,4494,6044,5.3,Review markdown
CAR-04465,2026-01-16,DE,BMW,3 Series,Diesel,Manual,Franchise dealer,4,49095,148,1,True,29,21100,17600,15117,20329,19.9,Hold
CAR-04850,2026-01-16,DE,BMW,X1,Petrol,Automatic,Private,2,62326,124,1,True,98,23670,24978,21455,28852,-5.2,Hold
CAR-02597,2026-01-16,DE,Audi,A4,Diesel,Manual,Private,3,61002,72,3,True,33,15980,16307,14007,18836,-2.0,Hold
CAR-01802,2026-01-16,DE,BMW,X1,Hybrid,Automatic,Franchise dealer,13,123638,70,5,False,84,5560,5002,4296,5778,11.2,Review markdown
CAR-03316,2026-01-16,DE,Volkswagen,Tiguan,Diesel,Automatic,Private,3,52592,149,2,True,45,21800,19608,16842,22649,11.2,Hold
CAR-03182,2026-01-16,DE,Mercedes-Benz,GLA,Electric,Manual,Private,10,119034,103,4,True,21,5140,5924,5088,6843,-13.2,Check underpricing
CAR-02613,2026-01-16,DE,Volkswagen,ID.3,Petrol,Automatic,Private,4,60958,231,3,True,24,18110,16755,14392,19353,8.1,Hold
CAR-03660,2026-01-16,NL,BMW,X3,Diesel,Automatic,Independent dealer,4,43433,141,2,True,36,21340,23418,20115,27050,-8.9,Check underpricing
CAR-00872,2026-01-16,DE,Skoda,Karoq,Petrol,Automatic,Private,6,94579,177,2,False,71,9220,8095,6953,9350,13.9,Review markdown
CAR-02109,2026-01-16,NL,BMW,3 Series,Electric,Automatic,Franchise dealer,2,52197,185,1,True,77,32440,33119,28448,38255,-2.1,Hold
CAR-00207,2026-01-17,DE,Volkswagen,ID.3,Diesel,Manual,Franchise dealer,3,80353,77,2,True,14,15350,15639,13433,18064,-1.8,Hold
CAR-03526,2026-01-17,AT,BMW,i4,Diesel,Automatic,Independent dealer,5,112278,118,2,False,21,15550,13854,11900,16003,12.2,Hold
CAR-00760,2026-01-17,DE,Volkswagen,Passat,Diesel,Automatic,Independent dealer,8,185314,218,4,True,14,6210,6689,5746,7726,-7.2,Hold
CAR-03411,2026-01-17,DE,BMW,X1,Petrol,Automatic,Franchise dealer,4,56534,138,2,True,31,20020,18075,15526,20878,10.8,Hold
CAR-04073,2026-01-17,DE,BMW,3 Series,Electric,Automatic,Private,1,22411,70,1,True,22,34540,34586,29708,39949,-0.1,Hold
CAR-00436,2026-01-17,DE,BMW,5 Series,Petrol,Automatic,Independent dealer,2,29272,157,2,True,50,37190,39057,33548,45114,-4.8,Hold
CAR-02504,2026-01-17,DE,Audi,Q3,Electric,Automatic,Independent dealer,1,31564,70,2,True,57,31250,34882,29962,40291,-10.4,Check underpricing
CAR-03442,2026-01-17,NL,BMW,3 Series,Diesel,Automatic,Franchise dealer,13,226053,205,5,True,45,5680,4994,4289,5768,13.7,Hold
CAR-01872,2026-01-17,DE,Skoda,Octavia,Petrol,Automatic,Franchise dealer,1,28683,117,1,True,47,22950,29845,25636,34474,-23.1,Check underpricing
CAR-03954,2026-01-18,DE,BMW,i4,Electric,Manual,Independent dealer,10,129142,142,3,True,32,6700,8827,7582,10196,-24.1,Check underpricing
CAR-02479,2026-01-18,DE,Skoda,Karoq,Electric,Automatic,Franchise dealer,7,83869,173,3,False,12,6760,8053,6917,9301,-16.1,Check underpricing
CAR-04292,2026-01-18,AT,BMW,3 Series,Petrol,Automatic,Franchise dealer,3,48743,152,2,True,40,30390,24100,20701,27838,26.1,Hold
CAR-02267,2026-01-18,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Independent dealer,6,97695,173,3,True,55,13470,13618,11697,15730,-1.1,Hold
CAR-03962,2026-01-18,DE,Volkswagen,Golf,Diesel,Manual,Franchise dealer,1,33262,167,1,False,39,20620,23988,20605,27708,-14.0,Check underpricing
CAR-04734,2026-01-18,AT,Skoda,Enyaq,Petrol,Manual,Franchise dealer,4,78580,70,2,False,90,13680,13753,11813,15886,-0.5,Hold
CAR-03643,2026-01-19,NL,BMW,i4,Petrol,Automatic,Private,1,49535,204,1,True,73,48020,50955,43768,58857,-5.8,Hold
CAR-00720,2026-01-19,DE,Mercedes-Benz,E-Class,Hybrid,Automatic,Independent dealer,2,38244,145,2,True,107,42790,42823,36783,49464,-0.1,Hold
CAR-00157,2026-01-19,DE,Volkswagen,Passat,Electric,Manual,Private,3,57387,157,2,True,8,19300,19532,16777,22561,-1.2,Hold
CAR-04335,2026-01-19,DE,BMW,3 Series,Hybrid,Manual,Independent dealer,7,97698,168,4,True,37,8130,9733,8360,11242,-16.5,Check underpricing
CAR-00940,2026-01-19,AT,Audi,A4,Petrol,Automatic,Franchise dealer,3,79400,78,1,True,31,20110,20511,17618,23692,-2.0,Hold
CAR-04942,2026-01-19,DE,Mercedes-Benz,EQE,Hybrid,Manual,Independent dealer,3,56076,160,1,True,26,36080,35048,30105,40484,2.9,Hold
CAR-02074,2026-01-19,DE,Audi,A3,Hybrid,Automatic,Independent dealer,4,90345,114,3,True,25,13960,13962,11993,16127,-0.0,Hold
CAR-02410,2026-01-19,DE,Volkswagen,ID.4,Petrol,Automatic,Franchise dealer,3,42131,179,2,True,88,28680,26749,22976,30897,7.2,Review markdown
CAR-00326,2026-01-19,DE,Volkswagen,ID.4,Diesel,Automatic,Private,6,154228,90,2,True,66,7480,8626,7410,9964,-13.3,Check underpricing
CAR-01483,2026-01-19,NL,Audi,Q5,Petrol,Automatic,Independent dealer,3,59557,109,1,True,48,30050,28183,24208,32554,6.6,Review markdown
CAR-02437,2026-01-19,DE,Volkswagen,Golf,Petrol,Automatic,Private,4,82219,141,2,True,79,11910,11801,10137,13631,0.9,Hold
CAR-01033,2026-01-19,DE,Skoda,Octavia,Petrol,Automatic,Franchise dealer,7,132496,189,3,True,69,7330,7519,6459,8685,-2.5,Hold
CAR-04820,2026-01-20,DE,Volkswagen,ID.4,Petrol,Automatic,Franchise dealer,8,184922,122,4,True,82,5440,7107,6104,8209,-23.5,Check underpricing
CAR-04675,2026-01-20,DE,BMW,X1,Hybrid,Manual,Independent dealer,4,68513,174,1,True,34,21290,18150,15590,20965,17.3,Hold
CAR-02492,2026-01-20,AT,BMW,5 Series,Hybrid,Manual,Franchise dealer,4,81046,152,2,True,24,27390,22980,19739,26543,19.2,Hold
CAR-00496,2026-01-20,DE,Mercedes-Benz,E-Class,Hybrid,Automatic,Independent dealer,6,97878,107,2,True,24,16700,15675,13464,18106,6.5,Hold
CAR-01190,2026-01-20,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Private,4,72200,117,2,True,44,20480,18145,15586,20959,12.9,Hold
CAR-03006,2026-01-20,DE,Mercedes-Benz,E-Class,Petrol,Manual,Franchise dealer,5,92996,161,4,True,65,17820,17796,15286,20556,0.1,Hold
CAR-01714,2026-01-21,DE,Audi,Q5,Diesel,Automatic,Private,3,39786,160,2,True,77,32210,28318,24324,32710,13.7,Review markdown
CAR-00750,2026-01-21,DE,Audi,Q3,Diesel,Automatic,Private,2,59570,139,1,True,77,25470,24963,21442,28835,2.0,Hold
CAR-00523,2026-01-21,DE,Volkswagen,Tiguan,Hybrid,Automatic,Private,3,72418,105,1,True,43,20850,19485,16737,22507,7.0,Hold
CAR-04778,2026-01-21,DE,Audi,Q3,Hybrid,Automatic,Independent dealer,4,72162,70,2,True,114,18660,16204,13918,18717,15.2,Review markdown
CAR-04644,2026-01-21,DE,Audi,Q3,Hybrid,Automatic,Independent dealer,3,63048,142,2,True,18,23100,22479,19308,25965,2.8,Hold
CAR-04658,2026-01-22,NL,Mercedes-Benz,GLA,Petrol,Manual,Independent dealer,11,99471,142,4,False,79,5390,5665,4866,6543,-4.9,Hold
CAR-01963,2026-01-22,DE,BMW,X1,Petrol,Automatic,Independent dealer,5,87980,122,3,False,107,11760,11015,9461,12723,6.8,Review markdown
CAR-00486,2026-01-22,DE,Mercedes-Benz,EQE,Petrol,Manual,Independent dealer,4,86881,83,2,True,33,24980,21437,18413,24761,16.5,Hold
CAR-02365,2026-01-23,DE,Volkswagen,ID.4,Electric,Manual,Franchise dealer,2,35577,125,1,True,52,28660,31516,27070,36403,-9.1,Check underpricing
CAR-04513,2026-01-23,DE,BMW,X1,Electric,Automatic,Independent dealer,8,139343,117,3,True,14,6620,7573,6504,8747,-12.6,Check underpricing
CAR-04467,2026-01-23,DE,Volkswagen,Passat,Petrol,Automatic,Franchise dealer,1,25366,111,1,False,23,29930,31571,27118,36467,-5.2,Hold
CAR-02030,2026-01-23,DE,BMW,X3,Petrol,Automatic,Independent dealer,2,39771,196,2,True,25,43270,40002,34360,46206,8.2,Hold
CAR-03812,2026-01-23,DE,Mercedes-Benz,C-Class,Petrol,Automatic,Franchise dealer,2,59135,74,1,True,2,32940,28298,24307,32687,16.4,Hold
CAR-01612,2026-01-24,DE,Volkswagen,ID.4,Petrol,Automatic,Independent dealer,0,12633,202,1,True,42,60490,62366,53569,72037,-3.0,Hold
CAR-02837,2026-01-24,DE,Audi,e-tron,Diesel,Manual,Independent dealer,7,81864,184,4,True,86,14090,13850,11896,15997,1.7,Hold
CAR-00100,2026-01-24,DE,Skoda,Enyaq,Diesel,Automatic,Franchise dealer,1,13033,103,1,True,71,37370,41131,35329,47509,-9.1,Check underpricing
CAR-01094,2026-01-24,DE,Mercedes-Benz,GLA,Diesel,Automatic,Franchise dealer,8,176807,155,3,True,20,5900,7056,6061,8150,-16.4,Check underpricing
CAR-04908,2026-01-24,DE,Volkswagen,ID.3,Petrol,Automatic,Franchise dealer,3,65489,152,2,True,40,21620,20435,17553,23605,5.8,Hold
CAR-01600,2026-01-25,DE,Skoda,Enyaq,Hybrid,Automatic,Franchise dealer,4,75092,129,1,True,19,20000,19734,16951,22795,1.3,Hold
CAR-02120,2026-01-25,DE,Audi,Q5,Electric,Automatic,Franchise dealer,7,99466,237,3,True,68,14730,15716,13499,18153,-6.3,Hold
CAR-00722,2026-01-25,DE,BMW,3 Series,Electric,Manual,Independent dealer,5,99730,92,2,False,32,9150,10228,8786,11814,-10.5,Check underpricing
CAR-03711,2026-01-26,DE,Volkswagen,Passat,Electric,Manual,Private,1,36547,110,2,True,27,27350,30938,26574,35735,-11.6,Check underpricing
CAR-03491,2026-01-26,DE,BMW,3 Series,Diesel,Automatic,Franchise dealer,7,180505,135,3,True,44,5170,7525,6463,8692,-31.3,Check underpricing
CAR-00160,2026-01-26,DE,BMW,i4,Diesel,Automatic,Independent dealer,5,125798,149,2,True,22,15790,15827,13595,18281,-0.2,Hold
CAR-03568,2026-01-26,DE,Volkswagen,Tiguan,Hybrid,Automatic,Independent dealer,3,65439,185,1,True,28,22980,23755,20405,27439,-3.3,Hold
CAR-02400,2026-01-26,DE,Mercedes-Benz,A-Class,Diesel,Automatic,Franchise dealer,3,84571,117,1,False,10,16470,14971,12860,17293,10.0,Hold
CAR-04111,2026-01-27,AT,Volkswagen,Passat,Petrol,Automatic,Franchise dealer,5,57692,70,2,True,80,16450,13561,11648,15664,21.3,Review markdown
CAR-00538,2026-01-27,NL,BMW,3 Series,Electric,Automatic,Independent dealer,9,164690,159,3,True,33,5740,7074,6077,8172,-18.9,Check underpricing
CAR-02171,2026-01-27,DE,Audi,e-tron,Petrol,Manual,Franchise dealer,3,44631,219,1,True,34,43600,36411,31275,42057,19.7,Hold
CAR-03002,2026-01-27,AT,Audi,A3,Hybrid,Automatic,Independent dealer,12,198437,127,3,True,82,5700,4841,4158,5592,17.7,Review markdown
CAR-01004,2026-01-27,DE,Volkswagen,ID.3,Diesel,Automatic,Franchise dealer,2,52652,235,2,True,52,35670,28595,24562,33030,24.7,Review markdown
CAR-00982,2026-01-27,DE,Volkswagen,ID.4,Diesel,Automatic,Independent dealer,8,170636,118,3,True,26,5930,6929,5952,8004,-14.4,Check underpricing
CAR-03651,2026-01-27,DE,BMW,X1,Hybrid,Automatic,Franchise dealer,12,163740,139,5,True,40,5770,5808,4989,6709,-0.7,Hold
CAR-04894,2026-01-28,DE,Volkswagen,Passat,Petrol,Automatic,Franchise dealer,8,77767,149,3,True,21,7870,9090,7808,10500,-13.4,Check underpricing
CAR-03173,2026-01-28,NL,Skoda,Octavia,Electric,Manual,Independent dealer,4,80675,122,2,True,57,11700,12440,10685,14369,-5.9,Hold
CAR-02981,2026-01-28,DE,Audi,A4,Diesel,Manual,Franchise dealer,3,68110,137,2,True,37,19990,19980,17162,23079,0.1,Hold
CAR-03847,2026-01-28,DE,Volkswagen,Tiguan,Diesel,Automatic,Private,2,38962,130,1,True,61,25240,25480,21886,29431,-0.9,Hold
CAR-03703,2026-01-29,DE,Volkswagen,Passat,Hybrid,Automatic,Independent dealer,6,85785,93,3,True,75,10830,10745,9230,12412,0.8,Hold
CAR-01109,2026-01-29,DE,BMW,X3,Diesel,Automatic,Franchise dealer,6,100634,156,2,False,43,12380,12688,10899,14656,-2.4,Hold
CAR-02206,2026-01-29,DE,Volkswagen,Passat,Petrol,Automatic,Franchise dealer,5,78832,120,2,True,21,15860,13300,11424,15362,19.2,Hold
CAR-01566,2026-01-29,DE,BMW,3 Series,Electric,Automatic,Independent dealer,3,83585,208,1,True,9,22660,23509,20193,27155,-3.6,Hold
CAR-00203,2026-01-29,DE,BMW,5 Series,Hybrid,Automatic,Franchise dealer,2,41188,122,1,True,22,37450,39846,34226,46025,-6.0,Hold
CAR-04441,2026-01-29,DE,Audi,A4,Electric,Automatic,Independent dealer,13,294519,96,5,True,77,5570,3753,3223,4335,48.4,Review markdown
CAR-04250,2026-01-29,NL,Audi,e-tron,Petrol,Automatic,Independent dealer,1,31831,170,1,False,125,56130,51185,43965,59123,9.7,Review markdown
CAR-01204,2026-01-29,DE,BMW,5 Series,Hybrid,Manual,Franchise dealer,2,38927,191,2,True,57,48830,41010,35226,47370,19.1,Review markdown
CAR-02732,2026-01-29,DE,Mercedes-Benz,GLA,Petrol,Automatic,Private,3,54186,204,2,False,30,19070,19543,16786,22573,-2.4,Hold
CAR-04514,2026-01-30,DE,BMW,5 Series,Petrol,Automatic,Independent dealer,3,52036,186,2,True,35,30420,30289,26017,34986,0.4,Hold
CAR-04708,2026-01-30,DE,BMW,3 Series,Petrol,Automatic,Independent dealer,5,83129,169,2,False,55,12530,12334,10595,14247,1.6,Hold
CAR-02228,2026-01-30,DE,BMW,X1,Diesel,Automatic,Franchise dealer,10,198329,143,4,True,22,5820,5300,4553,6122,9.8,Hold
CAR-00345,2026-01-30,DE,Volkswagen,ID.4,Electric,Automatic,Independent dealer,9,172033,120,4,True,60,5490,6744,5793,7790,-18.6,Check underpricing
CAR-04383,2026-01-30,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,5,91161,142,3,True,69,14300,14100,12111,16287,1.4,Hold
CAR-02459,2026-01-30,DE,Mercedes-Benz,E-Class,Diesel,Automatic,Franchise dealer,2,54794,138,2,True,82,40050,37674,32360,43516,6.3,Review markdown
CAR-02574,2026-01-30,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Independent dealer,3,40423,202,2,True,18,33840,29200,25081,33728,15.9,Hold
CAR-00776,2026-01-31,DE,Volkswagen,Tiguan,Diesel,Automatic,Private,1,25314,111,1,True,56,29560,32960,28311,38071,-10.3,Check underpricing
CAR-04630,2026-01-31,DE,Audi,Q3,Petrol,Automatic,Independent dealer,5,121674,84,2,True,42,11240,11250,9663,12995,-0.1,Hold
CAR-02591,2026-01-31,AT,Skoda,Kodiaq,Diesel,Manual,Private,2,50672,242,2,True,60,27390,27981,24035,32320,-2.1,Hold
CAR-01735,2026-01-31,AT,Volkswagen,ID.3,Petrol,Automatic,Private,3,42436,194,2,True,84,24810,21972,18873,25380,12.9,Review markdown
CAR-02790,2026-01-31,DE,Volkswagen,Golf,Petrol,Automatic,Independent dealer,7,141194,84,3,True,33,5730,5863,5036,6773,-2.3,Hold
CAR-03637,2026-01-31,DE,BMW,3 Series,Petrol,Automatic,Independent dealer,2,44481,89,2,True,71,25800,26016,22346,30050,-0.8,Hold
CAR-03339,2026-01-31,DE,Mercedes-Benz,EQE,Diesel,Automatic,Franchise dealer,8,76401,106,4,True,47,12000,12941,11116,14948,-7.3,Hold
CAR-04153,2026-01-31,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Private,6,131463,123,3,True,30,12220,10775,9255,12446,13.4,Hold
CAR-01977,2026-01-31,DE,Skoda,Enyaq,Petrol,Automatic,Franchise dealer,6,48210,140,2,True,61,15960,14444,12407,16684,10.5,Review markdown
CAR-00391,2026-01-31,DE,BMW,i4,Diesel,Automatic,Private,2,35835,152,2,True,35,40110,35588,30568,41106,12.7,Hold
