listing_id,listed_date,country,brand,model,fuel,transmission,seller_type,age_years,mileage_km,power_kw,previous_owners,accident_free,days_on_market,asking_price_eur
CAR-01718,2024-01-15,DE,Volkswagen,ID.4,Hybrid,Automatic,Independent dealer,4,60446,117,2,True,37,19640
CAR-02009,2024-01-16,NL,Volkswagen,Golf,Petrol,Automatic,Independent dealer,13,219938,191,5,True,48,5720
CAR-02759,2024-01-16,DE,Mercedes-Benz,E-Class,Electric,Automatic,Independent dealer,3,74276,146,1,True,52,30770
CAR-03285,2024-01-16,AT,Volkswagen,Passat,Hybrid,Manual,Independent dealer,13,229529,76,5,True,5,5370
CAR-02138,2024-01-16,DE,Volkswagen,Tiguan,Petrol,Manual,Independent dealer,1,33927,261,1,True,44,39440
CAR-04310,2024-01-16,DE,Mercedes-Benz,A-Class,Petrol,Automatic,Independent dealer,2,61174,169,1,True,17,22320
CAR-00717,2024-01-17,DE,BMW,5 Series,Electric,Automatic,Independent dealer,9,166947,95,3,True,61,6120
CAR-04483,2024-01-17,DE,Audi,A4,Petrol,Automatic,Private,12,201941,140,5,True,71,5730
CAR-03917,2024-01-17,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,7,128864,163,3,True,58,9290
CAR-01331,2024-01-17,AT,Mercedes-Benz,GLA,Hybrid,Automatic,Independent dealer,2,49026,114,1,True,41,29320
CAR-04608,2024-01-17,DE,BMW,5 Series,Diesel,Automatic,Franchise dealer,4,63620,128,2,True,11,25430
CAR-00049,2024-01-17,DE,BMW,X3,Diesel,Automatic,Private,1,31866,134,1,True,36,43040
CAR-02355,2024-01-17,DE,Volkswagen,Passat,Petrol,Automatic,Independent dealer,5,95245,162,2,True,50,14740
CAR-03418,2024-01-17,DE,BMW,X1,Diesel,Automatic,Franchise dealer,6,80586,178,3,True,25,12170
CAR-01205,2024-01-17,DE,BMW,i4,Electric,Automatic,Franchise dealer,6,84740,171,2,True,63,16430
CAR-03567,2024-01-17,DE,Mercedes-Benz,A-Class,Petrol,Automatic,Franchise dealer,9,99702,164,5,True,54,5750
CAR-02236,2024-01-17,AT,BMW,X1,Diesel,Automatic,Franchise dealer,3,63943,87,3,True,39,21530
CAR-03250,2024-01-17,DE,Skoda,Superb,Petrol,Automatic,Independent dealer,3,53122,115,1,True,16,21580
CAR-00314,2024-01-18,DE,Audi,Q3,Electric,Automatic,Independent dealer,1,19961,137,1,True,52,36930
CAR-02417,2024-01-18,DE,Mercedes-Benz,A-Class,Diesel,Automatic,Independent dealer,5,84217,70,2,True,7,11170
CAR-03110,2024-01-18,DE,Audi,A3,Hybrid,Automatic,Independent dealer,13,195730,112,5,True,55,5400
CAR-03135,2024-01-18,DE,Volkswagen,Tiguan,Petrol,Automatic,Franchise dealer,8,206244,142,5,True,68,5710
CAR-02554,2024-01-18,DE,Audi,Q5,Electric,Automatic,Franchise dealer,11,170340,121,4,True,25,5620
CAR-03282,2024-01-18,DE,Audi,Q5,Petrol,Automatic,Franchise dealer,7,154210,138,3,True,62,8940
CAR-04898,2024-01-19,DE,Skoda,Superb,Petrol,Automatic,Franchise dealer,13,299874,131,5,True,36,5480
CAR-04538,2024-01-19,DE,BMW,X3,Petrol,Automatic,Private,5,116995,172,2,True,9,15850
CAR-03813,2024-01-19,DE,BMW,X3,Diesel,Automatic,Independent dealer,1,32689,91,1,True,65,44490
CAR-04158,2024-01-19,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Independent dealer,3,81793,157,2,True,57,27930
CAR-02700,2024-01-19,DE,Volkswagen,ID.4,Hybrid,Automatic,Independent dealer,4,76464,147,1,True,49,18180
CAR-00560,2024-01-19,DE,BMW,X3,Hybrid,Automatic,Franchise dealer,7,88866,95,3,True,8,13010
CAR-02537,2024-01-19,DE,Audi,A3,Petrol,Automatic,Independent dealer,5,82479,126,2,True,13,9340
CAR-00822,2024-01-19,DE,Audi,A3,Electric,Manual,Independent dealer,5,59419,208,2,True,31,14080
CAR-04614,2024-01-19,DE,Audi,e-tron,Electric,Automatic,Independent dealer,2,42335,182,1,True,30,52560
CAR-00173,2024-01-19,DE,Skoda,Kodiaq,Petrol,Automatic,Private,8,136646,136,4,True,88,6670
CAR-02948,2024-01-20,DE,Skoda,Karoq,Petrol,Automatic,Independent dealer,1,25413,155,1,True,18,33490
CAR-04472,2024-01-20,DE,Volkswagen,ID.4,Electric,Manual,Franchise dealer,6,100384,149,3,True,69,12000
CAR-00831,2024-01-20,DE,Mercedes-Benz,E-Class,Hybrid,Automatic,Franchise dealer,2,39136,147,3,True,21,43170
CAR-03818,2024-01-20,DE,Volkswagen,ID.3,Petrol,Automatic,Franchise dealer,3,49265,159,2,True,41,22170
CAR-00662,2024-01-21,DE,BMW,5 Series,Hybrid,Automatic,Private,4,100981,171,3,True,62,21510
CAR-03127,2024-01-21,DE,BMW,i4,Diesel,Automatic,Private,4,78049,110,2,True,10,20140
CAR-04074,2024-01-21,DE,BMW,i4,Diesel,Automatic,Independent dealer,3,64865,153,3,True,10,27480
CAR-01953,2024-01-21,DE,Skoda,Kodiaq,Petrol,Automatic,Independent dealer,4,74083,83,1,True,39,16510
CAR-04653,2024-01-21,DE,BMW,i4,Diesel,Automatic,Franchise dealer,5,84080,244,2,False,56,19560
CAR-03440,2024-01-21,DE,Audi,e-tron,Hybrid,Automatic,Independent dealer,7,117042,177,4,True,58,14260
CAR-02619,2024-01-21,DE,Skoda,Kodiaq,Diesel,Automatic,Independent dealer,3,49719,137,2,False,28,19290
CAR-03661,2024-01-22,DE,Skoda,Karoq,Petrol,Manual,Independent dealer,2,40877,95,1,True,54,18060
CAR-04400,2024-01-22,DE,Volkswagen,Golf,Petrol,Automatic,Franchise dealer,3,72618,106,3,True,35,15620
CAR-01695,2024-01-22,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,5,104805,157,3,True,53,14560
CAR-00289,2024-01-22,DE,BMW,5 Series,Petrol,Automatic,Independent dealer,3,74413,130,2,True,38,28090
CAR-01425,2024-01-22,DE,Audi,e-tron,Diesel,Automatic,Independent dealer,4,89624,133,1,True,40,22590
CAR-00264,2024-01-22,DE,Skoda,Kodiaq,Electric,Automatic,Independent dealer,1,24991,71,1,True,22,37420
CAR-03095,2024-01-23,AT,BMW,X1,Petrol,Automatic,Independent dealer,4,48703,71,1,True,92,19530
CAR-04723,2024-01-23,DE,Volkswagen,ID.3,Hybrid,Automatic,Franchise dealer,1,28521,151,2,True,152,38120
CAR-00911,2024-01-23,AT,Skoda,Karoq,Hybrid,Manual,Private,5,93064,184,3,True,41,10850
CAR-03787,2024-01-23,DE,BMW,5 Series,Diesel,Automatic,Franchise dealer,8,130492,160,3,True,24,9620
CAR-04569,2024-01-23,DE,Mercedes-Benz,EQE,Electric,Manual,Independent dealer,3,58686,152,2,False,33,29750
CAR-01088,2024-01-23,DE,Mercedes-Benz,A-Class,Diesel,Manual,Independent dealer,2,37487,159,2,True,52,21290
CAR-03791,2024-01-23,DE,Audi,A3,Petrol,Manual,Private,12,179060,186,4,True,11,4900
CAR-02465,2024-01-23,DE,Volkswagen,ID.4,Hybrid,Automatic,Independent dealer,4,81952,185,1,True,55,22960
CAR-02671,2024-01-23,DE,Mercedes-Benz,C-Class,Diesel,Automatic,Independent dealer,5,95903,70,2,True,23,14220
CAR-02663,2024-01-24,DE,Audi,e-tron,Electric,Automatic,Private,2,60619,227,1,True,16,39260
CAR-03621,2024-01-24,DE,Audi,A3,Diesel,Manual,Private,3,58769,73,1,True,4,16200
CAR-01455,2024-01-24,DE,BMW,5 Series,Diesel,Automatic,Independent dealer,6,131223,161,3,True,47,11030
CAR-01498,2024-01-24,DE,Audi,A3,Diesel,Automatic,Independent dealer,5,87189,167,3,True,72,10570
CAR-01016,2024-01-25,DE,Volkswagen,ID.4,Hybrid,Automatic,Independent dealer,10,169344,165,4,True,23,5030
CAR-00824,2024-01-25,NL,Volkswagen,ID.3,Electric,Automatic,Independent dealer,2,27072,147,1,True,43,25220
CAR-04022,2024-01-25,DE,Audi,e-tron,Diesel,Automatic,Franchise dealer,9,147679,217,4,True,45,7330
CAR-04316,2024-01-25,DE,Skoda,Karoq,Diesel,Automatic,Franchise dealer,3,69770,152,2,True,36,16800
CAR-00704,2024-01-25,DE,Audi,Q3,Hybrid,Manual,Franchise dealer,8,167662,99,4,True,34,5580
CAR-01717,2024-01-25,AT,Volkswagen,Tiguan,Electric,Automatic,Franchise dealer,7,144670,128,3,True,14,8280
CAR-02354,2024-01-25,DE,Mercedes-Benz,E-Class,Electric,Manual,Independent dealer,6,130458,103,2,True,38,12990
CAR-02305,2024-01-26,DE,Audi,A4,Diesel,Automatic,Franchise dealer,4,72420,107,3,True,35,19830
CAR-04475,2024-01-26,DE,Volkswagen,ID.3,Petrol,Automatic,Franchise dealer,3,51436,111,1,True,50,21920
CAR-02835,2024-01-26,DE,Volkswagen,Passat,Diesel,Automatic,Franchise dealer,7,86860,84,2,True,35,8390
CAR-02791,2024-01-26,DE,BMW,X3,Diesel,Automatic,Franchise dealer,6,86386,180,2,True,7,15500
CAR-03054,2024-01-26,DE,Volkswagen,Passat,Diesel,Manual,Franchise dealer,4,72440,126,3,True,24,14920
CAR-00068,2024-01-26,DE,BMW,5 Series,Diesel,Automatic,Independent dealer,1,23672,161,1,True,17,52540
CAR-04767,2024-01-26,DE,Mercedes-Benz,A-Class,Hybrid,Automatic,Franchise dealer,8,129565,206,4,True,16,7370
CAR-04416,2024-01-26,DE,Mercedes-Benz,EQE,Diesel,Automatic,Private,3,79828,93,1,True,27,29680
CAR-02781,2024-01-26,DE,BMW,3 Series,Hybrid,Automatic,Private,3,38077,120,1,True,40,24930
CAR-04951,2024-01-27,DE,Volkswagen,Tiguan,Electric,Automatic,Private,6,81312,130,2,True,11,11190
CAR-00482,2024-01-27,AT,Mercedes-Benz,EQE,Hybrid,Manual,Franchise dealer,2,33567,136,1,True,64,45040
CAR-00268,2024-01-27,DE,BMW,5 Series,Hybrid,Automatic,Independent dealer,2,43299,70,1,True,43,38350
CAR-03733,2024-01-27,AT,Mercedes-Benz,E-Class,Diesel,Automatic,Private,6,113730,85,1,True,53,12530
CAR-00995,2024-01-27,AT,Mercedes-Benz,C-Class,Diesel,Automatic,Franchise dealer,11,190229,140,4,True,11,5690
CAR-00003,2024-01-28,DE,Volkswagen,ID.3,Diesel,Manual,Independent dealer,2,48420,182,1,True,26,24640
CAR-01842,2024-01-28,DE,BMW,X3,Diesel,Manual,Franchise dealer,4,65997,188,1,False,24,20030
CAR-02288,2024-01-28,AT,BMW,5 Series,Diesel,Manual,Franchise dealer,1,24439,148,1,True,50,46490
CAR-00504,2024-01-28,DE,Mercedes-Benz,C-Class,Petrol,Automatic,Franchise dealer,11,184133,262,5,True,68,5840
CAR-01278,2024-01-28,DE,Skoda,Octavia,Diesel,Automatic,Franchise dealer,4,93842,100,1,True,49,10120
CAR-02589,2024-01-28,DE,Audi,A3,Petrol,Manual,Private,3,86286,149,2,True,60,16400
CAR-02553,2024-01-28,DE,Skoda,Superb,Hybrid,Automatic,Franchise dealer,3,53714,82,2,True,31,21010
CAR-03797,2024-01-28,DE,Volkswagen,ID.3,Diesel,Manual,Independent dealer,2,48590,123,2,True,35,19660
CAR-03366,2024-01-29,DE,Volkswagen,Golf,Petrol,Manual,Private,0,8878,85,1,True,109,24950
CAR-03662,2024-01-29,DE,Skoda,Karoq,Petrol,Manual,Independent dealer,4,64568,139,1,True,64,13310
CAR-03150,2024-01-29,DE,BMW,5 Series,Petrol,Automatic,Franchise dealer,6,149149,117,2,True,12,12180
CAR-02923,2024-01-29,DE,Volkswagen,ID.3,Electric,Manual,Franchise dealer,4,83823,198,1,True,39,15360
CAR-04280,2024-01-29,DE,BMW,X3,Diesel,Automatic,Franchise dealer,4,94051,133,2,True,7,21030
CAR-00280,2024-01-29,DE,BMW,X3,Electric,Automatic,Independent dealer,1,19387,107,1,True,7,52900
CAR-03133,2024-01-29,DE,BMW,X1,Diesel,Automatic,Independent dealer,6,137916,80,2,True,48,7730
CAR-01935,2024-01-30,AT,BMW,5 Series,Petrol,Automatic,Independent dealer,1,37793,120,1,True,24,43640
CAR-01342,2024-01-30,DE,Mercedes-Benz,E-Class,Petrol,Manual,Independent dealer,4,103219,132,2,True,32,19860
CAR-02404,2024-01-30,DE,Volkswagen,Passat,Petrol,Automatic,Independent dealer,4,103399,106,1,True,20,13240
CAR-00768,2024-01-30,AT,BMW,5 Series,Diesel,Automatic,Independent dealer,6,118610,164,3,True,82,12700
CAR-02928,2024-01-30,DE,Audi,A3,Petrol,Automatic,Private,4,73693,156,2,True,33,14280
CAR-04360,2024-01-31,DE,Audi,Q3,Diesel,Automatic,Franchise dealer,4,95143,105,2,False,22,11250
CAR-02814,2024-01-31,DE,BMW,3 Series,Petrol,Automatic,Independent dealer,2,58546,81,1,True,22,24910
CAR-01542,2024-02-01,DE,Audi,A3,Diesel,Manual,Franchise dealer,2,45330,70,2,True,40,17820
CAR-03528,2024-02-01,DE,Volkswagen,ID.3,Petrol,Automatic,Franchise dealer,4,82671,126,2,True,35,15310
CAR-02558,2024-02-01,DE,Mercedes-Benz,E-Class,Electric,Manual,Independent dealer,5,136687,71,2,True,78,14660
CAR-03623,2024-02-01,DE,Volkswagen,Passat,Electric,Manual,Franchise dealer,13,231480,150,5,True,25,6140
CAR-03728,2024-02-01,DE,Volkswagen,Tiguan,Diesel,Automatic,Independent dealer,4,75269,197,2,True,22,15370
CAR-03325,2024-02-01,DE,Volkswagen,Golf,Diesel,Automatic,Private,2,34252,159,2,True,27,21270
CAR-00084,2024-02-01,DE,BMW,3 Series,Petrol,Automatic,Franchise dealer,6,88360,166,2,True,75,12500
CAR-00192,2024-02-01,DE,BMW,3 Series,Petrol,Automatic,Franchise dealer,3,62091,102,1,True,33,23060
CAR-02985,2024-02-02,DE,Audi,e-tron,Diesel,Automatic,Franchise dealer,13,271155,166,5,True,39,5400
CAR-03752,2024-02-02,DE,Mercedes-Benz,EQE,Petrol,Automatic,Franchise dealer,4,82701,168,3,True,2,30640
CAR-00099,2024-02-02,DE,Skoda,Enyaq,Petrol,Automatic,Franchise dealer,4,71664,101,3,True,148,17140
CAR-01486,2024-02-02,DE,Skoda,Superb,Hybrid,Automatic,Private,4,77051,164,2,True,8,15880
CAR-04497,2024-02-03,DE,Mercedes-Benz,GLA,Petrol,Manual,Independent dealer,4,67770,127,2,True,57,18080
CAR-03680,2024-02-03,DE,Volkswagen,ID.3,Petrol,Manual,Private,6,48247,133,2,True,93,11740
CAR-00357,2024-02-03,DE,Volkswagen,Tiguan,Hybrid,Automatic,Franchise dealer,11,269434,194,4,True,67,5580
CAR-03768,2024-02-03,DE,Volkswagen,ID.3,Diesel,Automatic,Independent dealer,1,9862,118,1,True,88,37260
CAR-03433,2024-02-03,DE,Audi,Q5,Diesel,Automatic,Franchise dealer,2,44588,219,2,True,80,41350
CAR-03521,2024-02-03,DE,Skoda,Octavia,Petrol,Automatic,Independent dealer,2,54281,113,1,True,95,20640
CAR-02421,2024-02-03,DE,BMW,3 Series,Petrol,Automatic,Franchise dealer,5,91897,88,2,False,56,11290
CAR-03910,2024-02-03,DE,Mercedes-Benz,A-Class,Hybrid,Automatic,Independent dealer,5,118542,123,3,True,63,10500
CAR-04015,2024-02-03,DE,Mercedes-Benz,A-Class,Petrol,Automatic,Independent dealer,7,146970,157,3,True,37,6600
CAR-00777,2024-02-03,DE,BMW,X1,Petrol,Automatic,Franchise dealer,2,37664,153,1,True,77,31420
CAR-03495,2024-02-04,AT,Volkswagen,Tiguan,Electric,Automatic,Franchise dealer,7,109100,241,2,True,62,11350
CAR-01973,2024-02-05,DE,Audi,A3,Electric,Automatic,Independent dealer,10,199047,154,4,True,17,5420
CAR-03427,2024-02-05,AT,Skoda,Kodiaq,Petrol,Automatic,Franchise dealer,9,128854,113,4,True,86,6220
CAR-00111,2024-02-05,DE,BMW,5 Series,Petrol,Manual,Franchise dealer,3,65051,142,2,True,33,27140
CAR-02560,2024-02-05,NL,Volkswagen,Passat,Hybrid,Automatic,Franchise dealer,2,43021,137,1,True,14,34140
CAR-03371,2024-02-05,AT,BMW,5 Series,Petrol,Automatic,Franchise dealer,1,20466,146,1,False,53,44700
CAR-04389,2024-02-05,DE,Mercedes-Benz,GLA,Petrol,Manual,Private,9,177712,203,5,True,82,5650
CAR-02674,2024-02-06,DE,Mercedes-Benz,E-Class,Diesel,Manual,Franchise dealer,8,139614,131,3,False,13,7810
CAR-03948,2024-02-06,AT,Skoda,Superb,Petrol,Manual,Independent dealer,12,244123,160,5,True,24,5610
CAR-01578,2024-02-06,DE,Skoda,Enyaq,Petrol,Automatic,Private,6,121113,116,3,True,50,8690
CAR-02023,2024-02-06,DE,Audi,Q5,Petrol,Automatic,Franchise dealer,10,122930,70,2,True,74,7370
CAR-02269,2024-02-06,DE,Skoda,Superb,Diesel,Automatic,Independent dealer,5,101243,153,3,True,54,10760
CAR-02777,2024-02-07,DE,Mercedes-Benz,EQE,Electric,Automatic,Franchise dealer,2,64724,95,1,False,108,37740
CAR-00232,2024-02-07,DE,Skoda,Octavia,Diesel,Automatic,Independent dealer,6,123503,127,2,True,48,6760
CAR-01815,2024-02-07,DE,Mercedes-Benz,GLA,Petrol,Automatic,Franchise dealer,2,33479,167,2,True,17,32570
CAR-02395,2024-02-07,DE,Skoda,Octavia,Diesel,Automatic,Independent dealer,6,80882,157,1,True,19,9010
CAR-01710,2024-02-07,NL,Volkswagen,ID.3,Hybrid,Automatic,Franchise dealer,8,89668,138,2,True,63,9040
CAR-03808,2024-02-07,DE,Skoda,Octavia,Petrol,Manual,Franchise dealer,4,79397,129,2,True,41,11330
CAR-03501,2024-02-07,DE,Mercedes-Benz,A-Class,Diesel,Automatic,Private,5,107663,209,2,True,31,10470
CAR-01902,2024-02-07,DE,Volkswagen,Passat,Petrol,Automatic,Private,12,216963,173,4,True,37,5790
CAR-04585,2024-02-08,DE,Volkswagen,ID.4,Petrol,Automatic,Private,3,79437,103,1,True,22,20410
CAR-03400,2024-02-08,DE,BMW,i4,Petrol,Automatic,Independent dealer,4,55858,114,3,True,24,25650
CAR-03044,2024-02-08,DE,Volkswagen,Passat,Electric,Automatic,Franchise dealer,4,94189,186,3,True,46,16660
CAR-00242,2024-02-09,DE,Audi,Q3,Electric,Automatic,Independent dealer,5,93818,157,2,True,69,16720
CAR-03001,2024-02-09,DE,Mercedes-Benz,EQE,Electric,Automatic,Independent dealer,8,123260,115,4,False,25,9030
CAR-04697,2024-02-09,DE,Mercedes-Benz,C-Class,Hybrid,Automatic,Independent dealer,10,173103,176,3,True,23,5750
CAR-02491,2024-02-09,DE,Audi,A3,Diesel,Manual,Franchise dealer,4,41814,111,2,True,11,16990
CAR-03898,2024-02-09,DE,BMW,i4,Electric,Automatic,Independent dealer,8,147925,177,5,True,3,8640
CAR-03518,2024-02-10,DE,Mercedes-Benz,EQE,Diesel,Automatic,Franchise dealer,2,57935,70,2,True,74,39770
CAR-01160,2024-02-10,DE,BMW,X1,Diesel,Automatic,Franchise dealer,7,145251,90,3,False,61,5410
CAR-01078,2024-02-10,DE,Volkswagen,ID.3,Petrol,Manual,Independent dealer,2,42648,113,1,True,16,20550
CAR-02741,2024-02-10,DE,Volkswagen,ID.4,Diesel,Automatic,Franchise dealer,5,107660,161,2,True,66,12380
CAR-04494,2024-02-10,DE,Audi,A3,Petrol,Automatic,Private,3,43551,173,3,True,83,20840
CAR-02339,2024-02-10,NL,BMW,X3,Petrol,Automatic,Independent dealer,4,68733,170,1,True,37,23270
CAR-03337,2024-02-11,AT,Skoda,Octavia,Diesel,Automatic,Franchise dealer,4,97887,146,1,True,51,10360
CAR-00386,2024-02-11,DE,Volkswagen,Golf,Petrol,Manual,Independent dealer,12,215799,145,5,True,38,5610
CAR-03881,2024-02-11,DE,Skoda,Kodiaq,Petrol,Automatic,Independent dealer,3,59678,147,1,True,14,26420
CAR-03256,2024-02-11,AT,BMW,5 Series,Electric,Automatic,Franchise dealer,2,40002,140,3,True,31,41090
CAR-01226,2024-02-12,DE,Mercedes-Benz,EQE,Electric,Manual,Franchise dealer,7,115836,175,4,True,94,13570
CAR-02088,2024-02-12,AT,Volkswagen,ID.3,Petrol,Automatic,Independent dealer,13,284732,145,5,True,23,5150
CAR-02481,2024-02-12,DE,Audi,Q5,Electric,Automatic,Independent dealer,1,24437,185,1,True,56,59370
